Genome Difference_Based_Sum
GCF_000968395.2_ASM96839v2_protein_matches 497
GCF_000092305.1_ASM9230v1_protein_matches 463
GCF_002215445.1_ASM221544v1_protein_matches 470
GCF_902383905.1_UHGG_MGYG-HGUT-02160_protein_matches 442
GCF_016065055.1_ASM1606505v1_protein_matches 376
GCF_013391105.1_ASM1339110v1_protein_matches 312
GCF_001886955.1_ASM188695v1_protein_matches 305
GCF_008000775.1_ASM800077v1_protein_matches 618
GCF_000195935.2_ASM19593v2_protein_matches 471
GCF_004126515.1_ASM412651v1_protein_matches 331
GCF_000025865.1_ASM2586v1_protein_matches 468
GCF_010706455.1_ASM1070645v1_protein_matches 506
GCF_002116695.1_ASM211669v1_protein_matches 502
GCF_000816105.1_ASM81610v1_protein_matches 485
GCF_009217585.1_ASM921758v1_protein_matches 307
GCF_013456555.2_ASM1345655v2_protein_matches 395
GCF_003856835.1_ASM385683v1_protein_matches 346
GCF_009914355.1_ASM991435v1_protein_matches 473
GCF_000970125.1_ASM97012v1_protein_matches 541
GCF_000968355.2_ASM96835v2_protein_matches 497
GCF_003052125.1_ASM305212v1_protein_matches 459
GCF_000734035.1_ASM73403v1_protein_matches 472
GCF_009601705.1_ASM960170v1_protein_matches 512
GCF_900083515.1_ASM90008351v1_protein_matches 483
GCF_014876775.1_ASM1487677v1_protein_matches 488
GCF_000220645.1_ASM22064v1_protein_matches 467
GCF_000970145.1_ASM97014v1_protein_matches 541
GCF_018141185.1_ASM1814118v1_protein_matches 508
GCF_000022385.1_ASM2238v1_protein_matches 512
GCF_000017165.1_ASM1716v1_protein_matches 474
GCF_000237865.1_ASM23786v1_protein_matches 246
GCF_000011205.1_ASM1120v1_protein_matches 483
GCF_016917855.1_ASM1691785v1_protein_matches 25
GCF_000828575.1_ASM82857v1_protein_matches 487
GCF_000196655.1_ASM19665v1_protein_matches 478
GCF_004803735.1_ASM480373v1_protein_matches 310
GCF_000009965.1_ASM996v1_protein_matches 470
GCF_000970305.1_ASM97030v1_protein_matches 534
GCF_020217425.1_ASM2021742v1_protein_matches 378
GCF_020405205.1_ASM2040520v1_protein_matches 385
GCF_020097815.1_ASM2009781v1_protein_matches 346
GCF_019880225.1_ASM1988022v1_protein_matches 309
GCF_001266715.1_ASM126671v1_protein_matches 484
GCF_019175305.1_ASM1917530v1_protein_matches 500
GCF_000018365.1_ASM1836v1_protein_matches 477
GCF_003201835.2_ASM320183v2_protein_matches 500
GCF_009917665.1_ASM991766v1_protein_matches 481
GCF_000403645.1_ASM40364v1_protein_matches 345
GCF_000217995.1_ASM21799v1_protein_matches 471
GCF_000698785.1_ASM69878v1_protein_matches 493
GCF_000172995.2_ASM17299v2_protein_matches 334
GCF_002197185.1_ASM219718v1_protein_matches 502
GCF_000231015.2_ASM23101v3_protein_matches 502
GCF_004799605.1_ASM479960v1_protein_matches 36
GCF_008831545.1_ASM883154v1_protein_matches 365
GCF_000585495.1_ASM58549v1_protein_matches 466
GCF_004114375.1_ASM411437v1_protein_matches 330
GCF_000504565.1_ASM50456v2_protein_matches 361
GCF_000265525.1_ASM26552v1_protein_matches 469
GCF_900095295.1_MCBB_protein_matches 500
GCF_000969985.1_ASM96998v1_protein_matches 532
GCF_000226975.2_ASM22697v3_protein_matches 336
GCF_013267195.1_ASM1326719v1_protein_matches 329
GCF_000970325.1_ASM97032v1_protein_matches 479
GCF_000194625.1_ASM19462v1_protein_matches 447
GCF_001266655.1_ASM126665v1_protein_matches 484
GCF_011602445.1_ASM1160244v1_protein_matches 448
GCF_013415905.1_ASM1341590v1_protein_matches 378
GCF_002215485.1_ASM221548v1_protein_matches 470
GCF_000015945.1_ASM1594v1_protein_matches 498
GCF_000299365.1_ASM29936v1_protein_matches 462
GCF_000011005.1_ASM1100v1_protein_matches 495
GCF_000327485.1_ASM32748v1_protein_matches 460
GCF_000009185.1_ASM918v1_protein_matches 246
GCF_000800805.1_ASM80080v1_protein_matches 466
GCF_005222525.1_ASM522252v1_protein_matches 494
GCF_000215995.1_ASM21599v1_protein_matches 485
GCF_000404225.1_ASM40422v1_protein_matches 442
GCF_000015765.1_ASM1576v1_protein_matches 441
GCF_001563245.1_ASM156324v1_protein_matches 495
GCF_000022425.1_ASM2242v1_protein_matches 517
GCF_000517445.1_ASM51744v1_protein_matches 493
GCF_002215525.1_ASM221552v1_protein_matches 468
GCF_009762275.1_ASM976227v1_protein_matches 337
GCF_000970045.1_ASM97004v1_protein_matches 520
GCF_000023945.1_ASM2394v1_protein_matches 359
GCF_016906025.1_ASM1690602v1_protein_matches 399
GCF_000340315.1_ASM34031v1_protein_matches 473
GCF_902384015.1_UHGG_MGYG-HGUT-02164_protein_matches 481
GCF_002952775.1_ASM295277v1_protein_matches 355
GCF_000875775.1_ASM87577v1_protein_matches 464
GCF_000517625.1_ASM51762v1_protein_matches 396
GCF_002078355.1_ASM207835v1_protein_matches 469
GCF_003342695.1_ASM334269v1_protein_matches 343
GCF_000017625.1_ASM1762v1_protein_matches 456
GCF_013401515.1_ASM1340151v1_protein_matches 372
GCF_000025505.1_ASM2550v1_protein_matches 481
GCF_009729035.1_ASM972903v1_protein_matches 472
GCF_000214725.1_ASM21472v1_protein_matches 505
GCF_001458655.1_Mb9_protein_matches 510
GCF_000022545.1_ASM2254v1_protein_matches 497
GCF_001484685.1_ASM148468v1_protein_matches 479
GCF_000193375.1_ASM19337v1_protein_matches 488
GCF_000970245.1_ASM97024v1_protein_matches 514
GCF_000328665.1_ASM32866v1_protein_matches 497
GCF_009392895.1_ASM939289v1_protein_matches 377
GCF_002906215.1_ASM290621v1_protein_matches 426
GCF_900198835.1_chr_EXT12c_protein_matches 469
GCF_002214505.1_ASM221450v1_protein_matches 504
GCF_000281695.1_ASM28169v1_protein_matches 318
GCF_000013445.1_ASM1344v1_protein_matches 497
GCF_003852175.1_ASM385217v1_protein_matches 486
GCF_000263735.1_ASM26373v1_protein_matches 459
GCF_000306765.2_ASM30676v2_protein_matches 342
GCF_017357405.1_ASM1735740v1_protein_matches 416
GCF_002214565.1_ASM221456v1_protein_matches 497
GCF_000013725.1_ASM1372v1_protein_matches 471
GCF_000092185.1_ASM9218v1_protein_matches 494
GCF_017094465.1_ASM1709446v1_protein_matches 333
GCF_902387285.1_UHGG_MGYG-HGUT-02456_protein_matches 458
GCF_000275605.1_ASM27560v1_protein_matches 496
GCF_001190965.1_ASM119096v1_protein_matches 343
GCF_000007305.1_ASM730v1_protein_matches 499
GCF_000016525.1_ASM1652v1_protein_matches 491
GCF_000470655.1_HATI1_protein_matches 366
GCF_000304355.2_Mb_MS2_protein_matches 470
GCF_000006805.1_ASM680v1_protein_matches 0
GCF_002355635.1_ASM235563v1_protein_matches 347
